Num_Samples,Function,Time
50,np_numba,0.081584
50,np,0.000563
50,sklearn,0.000566
50,other,0.000514
100,np_numba,0.071338
100,np,0.00437
100,sklearn,0.001873
100,other,0.001423
200,np_numba,0.066279
200,np,0.004121
200,sklearn,0.003879
200,other,0.001527
500,np_numba,0.041598
500,np,0.015893
500,sklearn,0.013579
500,other,0.004615
1000,np_numba,0.110131
1000,np,0.075261
1000,sklearn,0.06345
1000,other,0.016318
5000,np_numba,0.807651
5000,np,1.394968
5000,sklearn,0.964732
5000,other,0.426336
6000,np_numba,1.090556
6000,np,1.946147
6000,sklearn,1.349798
6000,other,0.601349
7000,np_numba,1.444925
7000,np,2.618278
7000,sklearn,1.830345
7000,other,0.812725
8000,np_numba,1.800744
8000,np,3.365206
8000,sklearn,2.356071
8000,other,1.043067
9000,np_numba,2.211631
9000,np,4.121167
9000,sklearn,2.927793
9000,other,1.292997
10000,np_numba,2.6436
10000,np,5.041965
10000,sklearn,3.597976
10000,other,1.597558
