Num_Samples,Function,Time
50,fl_dense_py_kernel_other_array,0.00043
50,apricot_dense,1.143373
100,fl_dense_py_kernel_other_array,0.001074
100,apricot_dense,1.147905
200,fl_dense_py_kernel_other_array,0.003024
200,apricot_dense,1.158563
500,fl_dense_py_kernel_other_array,0.016555
500,apricot_dense,1.211695
1000,fl_dense_py_kernel_other_array,0.081773
1000,apricot_dense,1.277899
5000,fl_dense_py_kernel_other_array,2.469303
5000,apricot_dense,2.311888
6000,fl_dense_py_kernel_other_array,3.563144
6000,apricot_dense,2.722006
7000,fl_dense_py_kernel_other_array,4.667065
7000,apricot_dense,3.111603
8000,fl_dense_py_kernel_other_array,6.174047
8000,apricot_dense,3.667575
9000,fl_dense_py_kernel_other_array,8.010674
9000,apricot_dense,4.299992
10000,fl_dense_py_kernel_other_array,9.417298
10000,apricot_dense,4.86331
